Hisse,AI Score,Sinyal,Dip Puanı,Fib Puanı,Dip Durumu,Fib Durumu
KLKIM,49.0,BEKLE,40,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
IHGZT,49.0,BEKLE,40,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
ULKER,49.0,BEKLE,40,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
BRLSM,49.0,BEKLE,40,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
FRMPL,49.0,BEKLE,40,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
ZERGY,49.0,BEKLE,40,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
OTKAR,48.65,BEKLE,44,75,DIP_DEGIL,FIB_EARLY_REBOUND
SMRVA,47.3,BEKLE,38,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
AYCES,47.3,BEKLE,38,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
MERKO,47.3,BEKLE,38,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
ISSEN,46.45,BEKLE,37,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
EKOS,46.45,BEKLE,37,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
RAYSG,46.45,BEKLE,37,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
NIBAS,46.45,BEKLE,37,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
SELVA,46.45,BEKLE,37,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
DERIM,45.25,BEKLE,40,75,DIP_DEGIL,FIB_EARLY_REBOUND
ORMA,45.25,BEKLE,40,75,DIP_DEGIL,FIB_EARLY_REBOUND
LUKSK,45.25,BEKLE,40,75,DIP_DEGIL,FIB_EARLY_REBOUND
TEKTU,44.75,BEKLE,35,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
ALVES,44.75,BEKLE,35,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
BLUME,44.75,BEKLE,35,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
SNGYO,44.75,BEKLE,35,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
CEMAS,44.75,BEKLE,35,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
RTALB,44.75,BEKLE,35,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
CLEBI,44.75,BEKLE,35,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
BMSCH,44.75,BEKLE,35,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
CANTE,44.75,BEKLE,35,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
FLAP,44.75,BEKLE,35,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
CEOEM,44.25,BEKLE,45,40,DIP_DEGIL,FIB_MID_ZONE
DOFRB,44.0,BEKLE,50,10,IZLEME_BOLGESI,FIB_HIGH_ZONE
TUKAS,43.9,BEKLE,34,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
GLRYH,43.9,BEKLE,34,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
MHRGY,43.9,BEKLE,34,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
OZKGY,43.55,BEKLE,38,75,DIP_DEGIL,FIB_EARLY_REBOUND
ISBIR,43.05,BEKLE,33,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
DNISI,42.7,BEKLE,37,75,DIP_DEGIL,FIB_EARLY_REBOUND
LKMNH,42.2,BEKLE,32,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
BESLR,42.2,BEKLE,32,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
AFYON,42.2,BEKLE,32,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
BNTAS,42.2,BEKLE,32,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
ADESE,42.2,BEKLE,32,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
KUYAS,41.7,BEKLE,42,40,DIP_DEGIL,FIB_MID_ZONE
SDTTR,41.7,BEKLE,42,40,DIP_DEGIL,FIB_MID_ZONE
KAPLM,41.0,BEKLE,35,75,DIP_DEGIL,FIB_EARLY_REBOUND
AZTEK,41.0,BEKLE,35,75,DIP_DEGIL,FIB_EARLY_REBOUND
FMIZP,41.0,BEKLE,35,75,DIP_DEGIL,FIB_EARLY_REBOUND
BIOEN,41.0,BEKLE,35,75,DIP_DEGIL,FIB_EARLY_REBOUND
KRVGD,40.5,BEKLE,30,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
ENTRA,40.5,BEKLE,30,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
BIZIM,40.5,BEKLE,30,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
SNICA,40.5,BEKLE,30,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
TSGYO,40.5,BEKLE,30,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
RUZYE,40.5,BEKLE,30,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
ALKA,40.5,BEKLE,30,100,DIP_DEGIL,FIB_ABSOLUTE_BOTTOM
