Hisse,Trend,Dip,Volume,fibonacci,Trend100,Dip100,Volume100,AI Score,Sinyal,Trend Durumu,Dip Durumu,Volume Durumu,fibonacci Durumu
ULUFA,35,71,46,85,35.0,35.5,46.0,49.88,BEKLE,EARLY_REBOUND,STRONG_DIP,NEUTRAL,FIB_BOTTOM_ZONE
TSKB,39,93,10,95,39.0,46.5,10.0,49.83,BEKLE,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION,FIB_236_RECLAIM
BRKSN,26,68,55,85,26.0,34.0,55.0,49.35,BEKLE,BOTTOM_SIDEWAYS,EARLY_RECOVERY,NEUTRAL,FIB_BOTTOM_ZONE
IHEVA,25,67,55,85,25.0,33.5,55.0,48.98,BEKLE,BOTTOM_SIDEWAYS,EARLY_RECOVERY,NEUTRAL,FIB_BOTTOM_ZONE
SODSN,36,82,30,85,36.0,41.0,30.0,48.8,BEKLE,EARLY_REBOUND,STRONG_DIP,DISTRIBUTION,FIB_BOTTOM_ZONE
ENTRA,30,85,33,85,30.0,42.5,33.0,48.73,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,DISTRIBUTION,FIB_BOTTOM_ZONE
RYSAS,36,84,15,95,36.0,42.0,15.0,48.65,BEKLE,EARLY_REBOUND,STRONG_DIP,HEAVY_DISTRIBUTION,FIB_236_RECLAIM
ECZYT,50,84,68,40,50.0,42.0,68.0,48.3,BEKLE,ACCUMULATION_DIP,STRONG_DIP,EARLY_ACCUMULATION,FIB_MID_ZONE
KMPUR,54,129,23,40,54.0,64.5,23.0,47.98,BEKLE,ACCUMULATION_DIP,PERFECT_DIP,HEAVY_DISTRIBUTION,FIB_MID_ZONE
KAREL,43,124,38,40,43.0,62.0,38.0,47.9,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION,FIB_MID_ZONE
FONET,47,119,38,40,47.0,59.5,38.0,47.83,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION,FIB_MID_ZONE
TATEN,24,82,23,95,24.0,41.0,23.0,47.5,BEKLE,BOTTOM_SIDEWAYS,STRONG_DIP,HEAVY_DISTRIBUTION,FIB_236_RECLAIM
HURGZ,32,72,23,95,32.0,36.0,23.0,47.35,BEKLE,BOTTOM_SIDEWAYS,STRONG_DIP,HEAVY_DISTRIBUTION,FIB_236_RECLAIM
